Date,High,Low,Close,noOfTransaction,volume,Amount,prevClose,change,chgPercent
2024-09-05,728.0,712.0,720.0,444.0,77907.0,55915953.0,723.9,-3.9,-0.54
2024-09-04,747.7,719.4,723.9,547.0,78623.0,56966185.6,733.1,-9.2,-1.25
2024-09-03,755.0,732.0,733.1,510.0,78177.0,57885965.6,744.6,-11.5,-1.54
2024-09-02,745.0,712.5,744.6,737.0,127354.0,93458785.5,727.0,17.6,2.42
2024-09-01,744.0,722.0,727.0,716.0,148373.0,108266631.1,740.0,-13.0,-1.76
2024-08-29,757.5,726.0,740.0,728.0,135538.0,99595680.1,745.0,-5.0,-0.67
2024-08-28,761.0,727.2,745.0,1256.0,292685.0,218535182.9,726.5,18.5,2.55
2024-08-27,761.9,725.0,726.5,1270.0,268339.0,196426467.4,747.0,-20.5,-2.74
2024-08-25,767.0,737.0,747.0,1394.0,267998.0,200619824.2,766.0,-19.0,-2.48
2024-08-22,790.0,762.2,766.0,949.0,180780.0,140090072.9,770.0,-4.0,-0.52
2024-08-21,778.5,725.0,770.0,2007.0,603337.0,450962578.5,727.0,43.0,5.91
2024-08-18,740.0,716.1,727.0,1446.0,399125.0,292158791.6,713.6,13.4,1.88
2024-08-15,720.0,700.0,713.6,1084.0,239159.0,170719982.2,703.0,10.6,1.51
2024-08-14,717.0,700.0,703.0,597.0,152919.0,107467289.5,703.0,0.0,0.0
2024-08-13,714.9,698.0,703.0,786.0,162399.0,114577416.1,703.0,0.0,0.0
2024-08-12,705.5,690.3,703.0,1027.0,232675.0,162896768.0,692.5,10.5,1.52
2024-08-11,695.0,679.0,692.5,961.0,243151.0,167139092.0,682.0,10.5,1.54
2024-08-08,695.0,675.0,682.0,623.0,125871.0,85903143.1,682.8,-0.8,-0.12
2024-08-07,686.0,660.0,682.8,896.0,268169.0,181566795.0,673.0,9.8,1.46
2024-08-07,686.0,660.0,682.8,896.0,268169.0,181566795.0,673.0,9.8,1.46
2024-08-06,700.5,670.0,673.0,1562.0,401087.0,274852605.2,687.9,-14.9,-2.17
2024-08-05,707.0,683.0,687.9,1331.0,285021.0,196760238.2,670.1,17.8,2.66
2024-08-01,688.0,670.0,670.1,685.0,278830.0,187664028.4,677.0,-6.9,-1.02
2024-07-31,681.8,665.0,677.0,880.0,228076.0,153996608.8,665.0,12.0,1.8
2024-07-30,670.0,650.0,665.0,843.0,182913.0,120471044.5,664.0,1.0,0.15
2024-07-30,670.0,650.0,665.0,843.0,182913.0,120471044.5,664.0,1.0,0.15
2024-07-29,700.0,660.0,664.0,1194.0,332829.0,222965607.5,678.5,-14.5,-2.14
2024-07-28,678.5,629.2,678.5,1512.0,368776.0,247003455.1,616.9,61.6,9.99
2024-07-25,619.0,600.1,616.9,503.0,159802.0,97351671.5,610.0,6.9,1.13
2024-07-24,620.0,600.0,610.0,610.0,216469.0,131673903.0,615.0,-5.0,-0.81
2024-07-23,615.0,603.0,615.0,562.0,133980.0,81629736.7,607.5,7.5,1.23
2024-07-22,617.0,600.0,607.5,624.0,102363.0,62242706.1,614.8,-7.3,-1.19
2024-07-21,621.0,598.0,614.8,615.0,131301.0,80690451.9,610.0,4.8,0.79
2024-07-18,618.0,587.3,610.0,786.0,162266.0,98190875.6,587.2,22.8,3.88
2024-07-17,590.0,571.0,587.2,477.0,102276.0,59510657.4,572.9,14.3,2.5
2024-07-16,573.0,556.0,572.9,272.0,44666.0,25398862.3,560.0,12.9,2.3
2024-07-15,575.0,552.0,560.0,370.0,96569.0,54287810.3,568.0,-8.0,-1.41
2024-07-14,575.0,558.2,568.0,332.0,59158.0,33452481.5,553.0,15.0,2.71
2024-07-11,556.0,547.7,553.0,306.0,83055.0,45801283.8,548.0,5.0,0.91
2024-07-10,548.7,540.0,548.0,191.0,40800.0,22225041.2,540.0,8.0,1.48
2024-07-09,540.0,534.2,540.0,120.0,16393.0,8816785.4,537.8,2.2,0.41
2024-07-08,542.0,535.5,537.8,132.0,23102.0,12435441.0,541.0,-3.2,-0.59
2024-07-07,545.0,538.2,541.0,177.0,33158.0,17920911.6,542.0,-1.0,-0.18
2024-07-04,544.2,536.0,542.0,180.0,44284.0,23951723.8,538.0,4.0,0.74
2024-07-03,538.0,526.4,538.0,141.0,23887.0,12769048.1,537.0,1.0,0.19
2024-07-02,570.0,529.0,537.0,229.0,34288.0,18309805.1,519.0,18.0,3.47
2024-07-01,519.0,511.0,519.0,132.0,15298.0,7893793.3,518.0,1.0,0.19
2024-06-30,519.0,517.1,518.0,123.0,15540.0,8043607.2,520.9,-2.9,-0.56
2024-06-27,523.0,518.1,520.9,111.0,11467.0,5962863.4,524.0,-3.1,-0.59
2024-06-26,529.0,520.0,524.0,121.0,25334.0,13234113.5,526.0,-2.0,-0.38
2024-06-25,528.5,520.6,526.0,80.0,9844.0,5151778.9,522.9,3.1,0.59
2024-06-24,528.0,520.1,522.9,128.0,22845.0,11935178.7,521.9,1.0,0.19
2024-06-23,529.0,521.2,521.9,115.0,28362.0,14851906.1,528.0,-6.1,-1.16
2024-06-20,539.4,526.0,528.0,96.0,15835.0,8352031.0,528.9,-0.9,-0.17
2024-06-19,530.0,525.0,528.9,101.0,21637.0,11400438.4,531.7,-2.8,-0.53
2024-06-18,532.0,525.0,531.7,117.0,11520.0,6077191.1,530.0,1.7,0.32
2024-06-16,532.9,526.1,530.0,113.0,18004.0,9529925.0,533.0,-3.0,-0.56
2024-06-13,534.0,530.6,533.0,93.0,16504.0,8773604.9,534.9,-1.9,-0.36
2024-06-12,540.0,532.0,534.9,128.0,21639.0,11560724.5,531.0,3.9,0.73
2024-06-11,539.8,525.1,531.0,125.0,25098.0,13273245.0,529.3,1.7,0.32
2024-06-10,537.5,520.0,529.3,147.0,30420.0,15997255.0,527.0,2.3,0.44
2024-06-09,538.5,525.0,527.0,135.0,25534.0,13439352.5,528.0,-1.0,-0.19
2024-06-06,528.1,521.2,528.0,144.0,27100.0,14214538.1,528.9,-0.9,-0.17
2024-06-05,531.0,520.0,528.9,98.0,17664.0,9316968.8,530.5,-1.6,-0.3
2024-06-04,530.5,524.3,530.5,144.0,31818.0,16815785.2,527.8,2.7,0.51
2024-06-03,528.0,522.2,527.8,105.0,12259.0,6432326.0,526.7,1.1,0.21
2024-06-02,528.0,520.0,526.7,132.0,16905.0,8878713.5,523.0,3.7,0.71
2024-05-30,530.0,522.0,523.0,171.0,30166.0,15847861.5,529.0,-6.0,-1.13
2024-05-30,530.0,522.0,523.0,171.0,30166.0,15847861.5,529.0,-6.0,-1.13
2024-05-29,549.9,528.3,529.0,224.0,37485.0,20042888.5,540.0,-11.0,-2.04
2024-05-27,550.0,538.5,540.0,253.0,53168.0,28872317.1,546.9,-6.9,-1.26
2024-05-26,556.0,541.2,546.9,338.0,70491.0,38381831.1,550.9,-4.0,-0.73
2024-05-22,559.0,537.3,550.9,620.0,131084.0,72088351.4,541.9,9.0,1.66
2024-05-21,542.0,532.0,541.9,320.0,63560.0,34103675.7,532.0,9.9,1.86
2024-05-20,544.0,522.0,532.0,538.0,103898.0,55441818.0,517.0,15.0,2.9
2024-05-19,523.0,509.0,517.0,239.0,52012.0,26946255.4,512.0,5.0,0.98
2024-05-16,512.0,502.5,512.0,137.0,21450.0,10878659.8,510.0,2.0,0.39
2024-05-15,521.0,507.0,510.0,137.0,17063.0,8718329.0,511.0,-1.0,-0.2
2024-05-14,519.8,508.0,511.0,145.0,23270.0,11884748.4,509.9,1.1,0.22
2024-05-13,512.0,500.0,509.9,194.0,29128.0,14808771.3,500.0,9.9,1.98
2024-05-12,503.0,494.0,500.0,173.0,33282.0,16530723.2,499.0,1.0,0.2
2024-05-09,499.5,495.1,499.0,106.0,13206.0,6570079.5,502.0,-3.0,-0.6
2024-05-08,505.0,496.0,502.0,85.0,9557.0,4766222.4,499.6,2.4,0.48
2024-05-07,500.0,496.0,499.6,131.0,20651.0,10272531.7,497.9,1.7,0.34
2024-05-06,503.0,492.1,497.9,190.0,28543.0,14203210.9,500.0,-2.1,-0.42
2024-05-02,519.1,504.1,505.4,149.0,19183.0,9738021.6,509.0,-3.6,-0.71
2024-04-30,515.1,505.0,509.0,128.0,15772.0,8022171.0,505.0,4.0,0.79
2024-04-29,506.0,502.2,505.0,81.0,14002.0,7066278.8,505.0,0.0,0.0
2024-04-28,506.0,498.2,505.0,271.0,30043.0,15115216.2,505.0,0.0,0.0
2024-04-25,505.9,500.0,505.0,88.0,10713.0,5378058.4,505.9,-0.9,-0.18
2024-04-24,506.0,501.1,505.9,151.0,13536.0,6827875.0,504.9,1.0,0.2
2024-04-22,509.8,503.0,504.9,145.0,16174.0,8172307.5,506.0,-1.1,-0.22
2024-04-21,508.0,499.5,506.0,174.0,18528.0,9288856.2,497.0,9.0,1.81
2024-04-18,500.0,494.0,497.0,88.0,7434.0,3683859.5,497.0,0.0,0.0
2024-04-16,500.0,495.3,497.0,99.0,10227.0,5084513.5,500.0,-3.0,-0.6
2024-04-15,504.7,498.2,500.0,116.0,16601.0,8304799.7,503.8,-3.8,-0.75
2024-04-14,509.0,498.0,503.8,109.0,25363.0,12702920.8,505.0,-1.2,-0.24
2024-04-10,505.0,500.2,505.0,139.0,20985.0,10564523.4,503.9,1.1,0.22
2024-04-09,510.0,500.0,503.9,115.0,12671.0,6378263.9,500.0,3.9,0.78
2024-04-07,500.0,487.3,500.0,150.0,17202.0,8486792.0,493.0,7.0,1.42
2024-04-04,496.0,490.6,493.0,186.0,35709.0,17581142.8,494.0,-1.0,-0.2
2024-04-03,506.0,490.5,494.0,224.0,39455.0,19507519.9,497.0,-3.0,-0.6
2024-04-02,500.0,492.0,497.0,165.0,33711.0,16707669.4,496.0,1.0,0.2
2024-04-01,503.0,494.0,496.0,229.0,28099.0,13940383.3,500.0,-4.0,-0.8
2024-03-31,510.0,498.0,500.0,218.0,29864.0,14954015.7,503.7,-3.7,-0.73
2024-03-28,508.8,503.0,503.7,129.0,23558.0,11902101.6,505.0,-1.3,-0.26
2024-03-27,508.0,502.5,505.0,118.0,23873.0,12065071.1,506.3,-1.3,-0.26
2024-03-26,509.0,503.4,506.3,121.0,16132.0,8156601.0,503.0,3.3,0.66
2024-03-25,511.0,502.3,503.0,258.0,29900.0,15124697.1,513.1,-10.1,-1.97
2024-03-21,518.0,511.2,513.1,108.0,15525.0,7973915.1,514.1,-1.0,-0.19
2024-03-20,522.0,512.2,514.1,106.0,13640.0,7006231.0,512.8,1.3,0.25
2024-03-19,518.0,512.6,512.8,121.0,19048.0,9814513.2,517.0,-4.2,-0.81
2024-03-18,520.0,515.9,517.0,110.0,24541.0,12690857.2,516.0,1.0,0.19
2024-03-17,521.0,510.0,516.0,127.0,20016.0,10347538.4,517.0,-1.0,-0.19
2024-03-14,520.0,514.1,517.0,143.0,13637.0,7038977.0,522.0,-5.0,-0.96
2024-03-13,536.5,516.0,522.0,174.0,15620.0,8166200.1,526.0,-4.0,-0.76
2024-03-12,528.0,515.0,526.0,246.0,27965.0,14650158.7,513.9,12.1,2.35
2024-03-10,515.0,510.0,513.9,109.0,11123.0,5707683.6,508.0,5.9,1.16
2024-03-07,520.0,507.3,508.0,109.0,14957.0,7667599.7,509.0,-1.0,-0.2
2024-03-06,517.0,502.2,509.0,115.0,23145.0,11731310.7,507.8,1.2,0.24
2024-03-05,530.0,498.0,507.8,213.0,24249.0,12287658.3,524.0,-16.2,-3.09
2024-03-04,524.0,503.8,524.0,3.0,30.0,15416.0,494.0,30.0,6.07
