Date,High,Low,Close,noOfTransaction,volume,Amount,prevClose,change,chgPercent
2024-09-05,598.0,585.0,592.0,969.0,92820.0,54792436.2,595.0,-3.0,-0.5
2024-09-04,622.2,595.0,595.0,1173.0,139235.0,83634651.9,610.0,-15.0,-2.46
2024-09-03,623.0,610.0,610.0,1032.0,107180.0,65893261.8,611.7,-1.7,-0.28
2024-09-02,612.0,585.0,611.7,1511.0,174550.0,104924105.6,595.0,16.7,2.81
2024-09-01,614.0,589.0,595.0,1606.0,150454.0,89809421.5,605.0,-10.0,-1.65
2024-08-29,625.0,600.0,605.0,1522.0,155077.0,93909055.4,616.0,-11.0,-1.79
2024-08-28,630.0,609.7,616.0,1759.0,256298.0,158681461.1,605.6,10.4,1.72
2024-08-27,640.0,605.0,605.6,2874.0,307846.0,189731911.0,636.9,-31.3,-4.91
2024-08-25,654.0,636.0,636.9,1815.0,206816.0,132777526.9,654.0,-17.1,-2.61
2024-08-22,668.0,652.0,654.0,1729.0,210335.0,138210719.0,658.3,-4.3,-0.65
2024-08-21,675.0,651.0,658.3,1864.0,251551.0,165831119.0,662.0,-3.7,-0.56
2024-08-18,682.0,656.0,662.0,2530.0,385734.0,257782857.6,660.0,2.0,0.3
2024-08-15,673.0,647.0,660.0,2786.0,460088.0,304494325.9,645.0,15.0,2.33
2024-08-14,650.0,640.0,645.0,1357.0,160074.0,103059752.05,647.9,-2.9,-0.45
2024-08-13,658.9,643.0,647.9,1598.0,208455.0,135177164.7,646.9,1.0,0.15
2024-08-12,657.9,640.0,646.9,1825.0,228497.0,148296873.4,639.1,7.8,1.22
2024-08-11,643.0,635.0,639.1,1680.0,196534.0,125518630.4,630.0,9.1,1.44
2024-08-08,644.1,628.0,630.0,1325.0,154915.0,97946514.6,631.5,-1.5,-0.24
2024-08-07,640.0,608.0,631.5,2071.0,251049.0,157692586.0,625.0,6.5,1.04
2024-08-07,640.0,608.0,631.5,2071.0,251049.0,157692586.0,625.0,6.5,1.04
2024-08-06,668.0,624.0,625.0,3193.0,421596.0,270876511.8,660.0,-35.0,-5.3
2024-08-05,700.0,657.0,660.0,2613.0,314107.0,208629892.9,645.0,15.0,2.33
2024-08-01,660.0,638.0,645.0,1631.0,197788.0,128019909.1,649.3,-4.3,-0.66
2024-07-31,656.8,640.0,649.3,1964.0,288592.0,187472565.1,644.0,5.3,0.82
2024-07-30,658.9,620.0,644.0,2889.0,331425.0,210223916.0,649.0,-5.0,-0.77
2024-07-30,658.9,620.0,644.0,2889.0,331425.0,210223916.0,649.0,-5.0,-0.77
2024-07-29,690.0,643.0,649.0,3789.0,451587.0,297700784.8,633.4,15.6,2.46
2024-07-28,633.4,587.4,633.4,2701.0,348250.0,220337618.9,575.9,57.5,9.98
2024-07-25,579.0,570.0,575.9,1202.0,129069.0,74255917.3,579.0,-3.1,-0.54
2024-07-24,590.0,570.0,579.0,1506.0,162758.0,94481900.7,579.0,0.0,0.0
2024-07-23,580.0,563.0,579.0,1472.0,185075.0,106372294.2,574.0,5.0,0.87
2024-07-22,587.0,563.0,574.0,1909.0,183975.0,105850242.3,577.0,-3.0,-0.52
2024-07-21,584.0,568.0,577.0,2122.0,248449.0,143659433.7,567.0,10.0,1.76
2024-07-18,589.0,538.0,567.0,2190.0,242256.0,135914813.2,538.0,29.0,5.39
2024-07-17,543.0,531.0,538.0,1199.0,138575.0,74566356.1,532.9,5.1,0.96
2024-07-16,534.4,514.5,532.9,945.0,116735.0,61368198.3,524.0,8.9,1.7
2024-07-15,545.0,521.0,524.0,1443.0,157693.0,83658136.5,529.0,-5.0,-0.95
2024-07-14,547.0,517.0,529.0,1398.0,138178.0,72604290.4,507.0,22.0,4.34
2024-07-11,507.0,498.6,507.0,986.0,115571.0,57994102.0,497.1,9.9,1.99
2024-07-10,500.0,490.0,497.1,619.0,82435.0,40854930.3,490.2,6.9,1.41
2024-07-09,491.9,482.1,490.2,410.0,48124.0,23437166.6,490.0,0.2,0.04
2024-07-08,490.0,482.0,490.0,550.0,79001.0,38542488.7,487.0,3.0,0.62
2024-07-07,490.0,482.0,487.0,508.0,59675.0,29077830.7,487.0,0.0,0.0
2024-07-04,490.0,480.0,487.0,525.0,58487.0,28370114.6,484.0,3.0,0.62
2024-07-03,484.0,469.0,484.0,463.0,48855.0,23335629.9,477.1,6.9,1.45
2024-07-02,499.3,466.0,477.1,740.0,93437.0,44669247.6,458.8,18.3,3.99
2024-07-01,458.8,450.0,458.8,357.0,31786.0,14413918.9,452.0,6.8,1.5
2024-06-30,461.0,450.8,452.0,419.0,55043.0,25040847.5,456.0,-4.0,-0.88
2024-06-27,457.0,454.6,456.0,300.0,29699.0,13534403.0,456.0,0.0,0.0
2024-06-26,460.0,455.1,456.0,364.0,57007.0,26058156.4,458.2,-2.2,-0.48
2024-06-25,465.0,455.3,458.2,493.0,56926.0,26111288.7,461.1,-2.9,-0.63
