Date,High,Low,Close,noOfTransaction,volume,Amount,prevClose,change,chgPercent
2024-09-05,297.0,285.0,289.0,1936.0,401350.0,116226620.5,295.0,-6.0,-2.03
2024-09-04,311.9,293.2,295.0,2315.0,501419.0,149723017.6,309.0,-14.0,-4.53
2024-09-03,314.0,304.0,309.0,2438.0,591646.0,182548764.6,309.8,-0.8,-0.26
2024-09-02,311.0,285.0,309.8,3351.0,535600.0,160779348.5,289.0,20.8,7.2
2024-09-01,302.0,288.0,289.0,2247.0,398618.0,116957954.1,296.0,-7.0,-2.36
2024-08-29,305.0,291.0,296.0,2940.0,599184.0,177926307.7,301.0,-5.0,-1.66
2024-08-28,315.0,295.0,301.0,4080.0,836499.0,255019571.0,295.0,6.0,2.03
2024-08-27,317.0,295.0,295.0,5419.0,1109714.0,334661118.7,312.3,-17.3,-5.54
2024-08-25,331.5,310.9,312.3,4149.0,780489.0,247689411.0,325.0,-12.7,-3.91
2024-08-22,337.0,321.0,325.0,4295.0,874363.0,286441644.8,326.5,-1.5,-0.46
2024-08-21,340.0,325.0,326.5,4131.0,897876.0,296097889.8,334.5,-8.0,-2.39
2024-08-18,356.9,329.1,334.5,5598.0,1402195.0,480578134.3,348.9,-14.4,-4.13
2024-08-15,366.6,332.1,348.9,6925.0,1712186.0,603769569.1,340.0,8.9,2.62
2024-08-14,349.0,317.0,340.0,6019.0,1439931.0,479672993.3,329.0,11.0,3.34
2024-08-13,343.7,323.1,329.0,5113.0,1036011.0,341201484.4,337.0,-8.0,-2.37
2024-08-12,344.6,325.4,337.0,8366.0,2189875.0,729092487.9,337.9,-0.9,-0.27
2024-08-11,338.0,313.6,337.9,7917.0,2091470.0,682780736.4,307.5,30.4,9.89
2024-08-08,311.3,280.0,307.5,8552.0,3037821.0,924693855.8,283.0,24.5,8.66
2024-08-07,284.0,261.5,283.0,3775.0,722857.0,199283574.2,266.8,16.2,6.07
2024-08-07,284.0,261.5,283.0,3775.0,722857.0,199283574.2,266.8,16.2,6.07
2024-08-06,287.0,264.1,266.8,4452.0,1118782.0,307062621.1,286.4,-19.6,-6.84
2024-08-05,290.0,274.0,286.4,4079.0,994754.0,279924338.6,280.5,5.9,2.1
2024-08-01,284.9,261.0,280.5,4955.0,1494471.0,414235409.8,261.0,19.5,7.47
2024-07-31,270.1,248.7,261.0,4089.0,1000880.0,262595195.0,248.7,12.3,4.95
2024-07-30,253.0,238.7,248.7,2608.0,530695.0,130473829.0,245.0,3.7,1.51
2024-07-30,253.0,238.7,248.7,2608.0,530695.0,130473829.0,245.0,3.7,1.51
2024-07-29,263.0,245.0,245.0,3430.0,679291.0,170619062.2,253.5,-8.5,-3.35
2024-07-28,253.5,235.1,253.5,3598.0,992125.0,245883769.9,230.5,23.0,9.98
2024-07-25,235.0,227.5,230.5,1625.0,319554.0,73746359.1,231.1,-0.6,-0.26
2024-07-24,242.0,228.5,231.1,2150.0,517106.0,121829811.6,236.0,-4.9,-2.08
