Date,High,Low,Close,noOfTransaction,volume,Amount,prevClose,change,chgPercent
2024-09-05,340.0,332.5,336.0,514.0,122219.0,40986060.6,338.9,-2.9,-0.86
2024-09-04,355.1,338.3,338.9,533.0,115208.0,39590327.5,348.2,-9.3,-2.67
2024-09-03,360.0,346.0,348.2,597.0,157249.0,55250186.5,353.0,-4.8,-1.36
2024-09-02,353.7,333.2,353.0,839.0,196609.0,68123619.7,337.0,16.0,4.75
2024-09-01,351.9,336.1,337.0,599.0,138471.0,47497104.8,346.0,-9.0,-2.6
2024-08-29,358.0,345.1,346.0,618.0,161994.0,56318576.2,353.0,-7.0,-1.98
2024-08-28,367.0,351.0,353.0,837.0,197871.0,70499917.6,351.0,2.0,0.57
2024-08-27,372.0,350.0,351.0,1190.0,346554.0,123692569.6,370.0,-19.0,-5.14
2024-08-25,377.0,366.0,370.0,1015.0,354667.0,131760885.6,377.5,-7.5,-1.99
2024-08-22,382.0,369.0,377.5,1181.0,353358.0,133268232.4,370.0,7.5,2.03
2024-08-21,375.0,358.1,370.0,1132.0,297048.0,108403754.5,369.0,1.0,0.27
2024-08-18,381.0,361.0,369.0,1562.0,477464.0,178438583.6,367.0,2.0,0.54
2024-08-15,373.5,352.0,367.0,2048.0,735532.0,268496281.4,347.1,19.9,5.73
2024-08-14,353.9,343.0,347.1,826.0,234526.0,81409434.2,349.0,-1.9,-0.54
2024-08-13,355.0,343.1,349.0,985.0,270895.0,94605460.5,347.4,1.6,0.46
2024-08-12,350.9,340.0,347.4,1161.0,350247.0,121623726.3,338.5,8.9,2.63
2024-08-11,340.0,329.0,338.5,1039.0,286122.0,95954736.7,328.0,10.5,3.2
2024-08-08,335.0,324.4,328.0,703.0,159106.0,52312161.2,329.0,-1.0,-0.3
2024-08-07,330.0,310.0,329.0,1169.0,307468.0,99390272.7,310.0,19.0,6.13
2024-08-07,330.0,310.0,329.0,1169.0,307468.0,99390272.7,310.0,19.0,6.13
2024-08-06,343.0,308.0,310.0,1672.0,397900.0,129755324.4,342.0,-32.0,-9.36
2024-08-05,351.9,340.0,342.0,942.0,207535.0,71354336.0,345.0,-3.0,-0.87
2024-08-01,355.0,340.0,345.0,944.0,271160.0,93496022.0,347.0,-2.0,-0.58
2024-07-31,352.0,338.1,347.0,915.0,323306.0,112156836.7,344.0,3.0,0.87
